10. Dlaczego nie komunikujesz pracodawcy  że nie spełnia on Twoich oczekiwań?
Grupa ,24-39 lat, Pytanie 10/1  -,"nie wierzysz, że to coś zmieni",-,Odpowiedzi -,18,-,42.86,%
Grupa ,24-39 lat, Pytanie 10/2  -,"boisz się, że zostaniesz uznany(a) za roszczeniowego",-,Odpowiedzi -,11,-,26.19,%
Grupa ,24-39 lat, Pytanie 10/3  -,"uważasz, że Twoje oczekiwania nie są ważne",-,Odpowiedzi -,3,-,7.14,%
Grupa ,24-39 lat, Pytanie 10/4  -,"boisz się, że zostaniesz zwolniony(a)",-,Odpowiedzi -,7,-,16.67,%
Grupa ,24-39 lat, Pytanie 10/5  -,"w firmie, w której pracujesz, nikt nie komunikuje potrzeb",-,Odpowiedzi -,5,-,11.90,%
Grupa ,24-39 lat, Pytanie 10/6  -,"uważasz, że pracodawca powinien się domyśleć",-,Odpowiedzi -,3,-,7.14,%
Grupa ,24-39 lat, Pytanie 10/7  -,"uważasz, że pracodawcy nie interesują Twoje oczekiwania",-,Odpowiedzi -,8,-,19.05,%
Grupa ,24-39 lat, Pytanie 10/8  -,bo już próbowałeś(aś) i zostałeś(aś) za to ukarany(a),-,Odpowiedzi -,0,-,0.00,%
Grupa ,24-39 lat, Pytanie 6109  -,inne,-,Odpowiedzi -,1,-,2.38,%
Liczba respondentów = ,42
