"6. Czy uważasz; że pracodawca nie zapewnia Ci? ";;;;;;;;
Grupa ;18-23 lat; Pytanie 6/1  -; narzędzi niezbędnych do wykonywania pracy i/lub właściwych warunków bhp;;Odpowiedzi -;3;;20.00;%
Grupa ;18-23 lat; Pytanie 6/2  -;odpowiednich do Twoich potrzeb warunków socjalnych;;Odpowiedzi -;2;;13.33;%
Grupa ;18-23 lat; Pytanie 6/3  -;możliwości awansu i/lub przejrzystych warunków jego uzyskania;;Odpowiedzi -;5;;33.33;%
Grupa ;18-23 lat; Pytanie 6/4  -;satysfakcjonującego wynagrodzenia i/lub przejrzystych zasad jego podwyżek;;Odpowiedzi -;7;;46.67;%
Grupa ;18-23 lat; Pytanie 6/5  -;szansy na rozwój osobisty wykraczający poza zajmowane stanowisko;;Odpowiedzi -;4;;26.67;%
Grupa ;18-23 lat; Pytanie 6/6  -;możliwości udziału w szkoleniach rozwijających kwalifikacje na zajmowanym stanowisku;;Odpowiedzi -;6;;40.00;%
Grupa ;18-23 lat; Pytanie 6/7  -;"bezpieczeństwa zatrudnienia ,  tj. stałej umowy o pracę";;Odpowiedzi -;0;;0.00;%
Grupa ;18-23 lat; Pytanie 6/8  -;samodzielności w pracy adekwatnej do posiadanych kwalifikacji i doświadczenia;;Odpowiedzi -;1;;6.67;%
Grupa ;18-23 lat; Pytanie 6/9  -;dopasowanego do potrzeb systemu motywacyjnego;;Odpowiedzi -;3;;20.00;%
Grupa ;18-23 lat; Pytanie 6/10  -;równowagi pomiędzy pracą a życiem osobistym (work life balance);;Odpowiedzi -;1;;6.67;%
Grupa ;18-23 lat; Pytanie 6/11  -;przejrzystego systemu oceny pracy;;Odpowiedzi -;5;;33.33;%
Grupa ;18-23 lat; Pytanie 6/12  -;równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników);;Odpowiedzi -;5;;33.33;%
Grupa ;18-23 lat; Pytanie 6/13  -;regularnego otrzymywania informacji zwrotnych dotyczących oceny jakości pracy;;Odpowiedzi -;5;;33.33;%
Grupa ;18-23 lat; Pytanie 6/14  -;szacunku i poszanowania godności;;Odpowiedzi -;2;;13.33;%
Grupa ;18-23 lat; Pytanie 6/15  -;dbałości o klimat sprzyjający zadowoleniu z pracy;;Odpowiedzi -;5;;33.33;%
;;;;;;;;;
Liczba respondentów =  15;;;;;;;;;
